year,hotel,sales
2013,airbnb,1
2013,homeaway,0.9
2013,hilton,6.9
2013,ihg,3.9
2013,marriott,9.5
2014,airbnb,2.1
2014,homeaway,2
2014,hilton,8.3
2014,ihg,4.4
2014,marriott,10.9
2015,airbnb,3.8
2015,homeaway,3.3
2015,hilton,9
2015,ihg,4.6
2015,marriott,11.8
2016,airbnb,6.3
2016,homeaway,4
2016,hilton,9.4
2016,ihg,4.9
2016,marriott,13.2
2017,airbnb,9
2017,homeaway,4.9
2017,hilton,9.7
2017,ihg,4.8
2017,marriott,17.1
2018,airbnb,11.6
2018,homeaway,6.4
2018,hilton,10.4
2018,ihg,4.9
2018,marriott,17.6